AccidentUID,AccidentType,AccidentType_de,AccidentType_fr,AccidentType_it,AccidentType_en,AccidentSeverityCategory,AccidentSeverityCategory_de,AccidentSeverityCategory_fr,AccidentSeverityCategory_it,AccidentSeverityCategory_en,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,RoadType_de,RoadType_fr,RoadType_it,RoadType_en,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,CantonCode,MunicipalityCode,AccidentYear,AccidentMonth,AccidentMonth_de,AccidentMonth_fr,AccidentMonth_it,AccidentMonth_en,AccidentWeekDay,AccidentWeekDay_de,AccidentWeekDay_fr,AccidentWeekDay_it,AccidentWeekDay_en,AccidentHour,AccidentHour_text,Datum,weather_condition,temperature
07E92AEA2F6502EEE0630AB38B025A50,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2680619,1250354,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw402,Dienstag,mardi,Martedì,Tuesday,12,12,2023-10-17,partly-cloudy-day,8.0
07E92AEA2FB902EEE0630AB38B025A50,at4,Einbiegeunfall,accident en s'engageant sur une route,Incidente nell’immettersi in una strada,Accident when turning-into main road,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,TRUE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2681539,1247833,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw402,Dienstag,mardi,Martedì,Tuesday,21,21,2023-10-17,cloudy,7.1
07E92AEA4E7902EEE0630AB38B025A50,at2,Auffahrunfall,accident par tamponnement,Incidente di tamponamento,Accident with rear-end collision,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2681537,1248951,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw402,Dienstag,mardi,Martedì,Tuesday,13,13,2023-10-17,partly-cloudy-day,10.0
07E92AEA640202EEE0630AB38B025A50,at7,Parkierunfall,accident en parquant,Incidente nel parcheggiare,Accident when parking,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2681387,1248441,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw401,Montag,lundi,Lunedí,Monday,17,17,2023-10-23,cloudy,13.0
07E92AEA651302EEE0630AB38B025A50,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as3,Unfall mit Leichtverletzten,accident avec blessés légers,Incidente con feriti leggeri,Accident with light injuries,FALSE,TRUE,FALSE,rt439,andere,autre,Altro,Other,2681005,1246842,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw405,Freitag,vendredi,Venerdì,Friday,15,15,2023-10-20,rain,13.0
07E92AEA655A02EEE0630AB38B025A50,at1,Überholunfall oder Fahrstreifenwechsel,accident lors d'un dépassement ou lors d'un changement de voie de circulation,Incidente di sorpasso o al cambiamento di corsia,Accident when overtaking or changing lanes,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2680984,1249338,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw401,Montag,lundi,Lunedí,Monday,16,16,2023-10-23,partly-cloudy-day,15.0
07E92AEA668602EEE0630AB38B025A50,at2,Auffahrunfall,accident par tamponnement,Incidente di tamponamento,Accident with rear-end collision,as3,Unfall mit Leichtverletzten,accident avec blessés légers,Incidente con feriti leggeri,Accident with light injuries,FALSE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2681647,1243298,ZH,261,2023,8,August,août,Agosto,August,aw401,Montag,lundi,Lunedí,Monday,8,08,2023-08-14,partly-cloudy-day,24.0
07F92D4E068901A2E0630AB38B020061,at00,Andere,autres,Altri,Other,as3,Unfall mit Leichtverletzten,accident avec blessés légers,Incidente con feriti leggeri,Accident with light injuries,FALSE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2679347,1249398,ZH,261,2023,8,August,août,Agosto,August,aw402,Dienstag,mardi,Martedì,Tuesday,18,18,2023-08-22,partly-cloudy-day,33.0
07F92D4E2CD601A2E0630AB38B020061,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt439,andere,autre,Altro,Other,2687066,1251189,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw404,Donnerstag,jeudi,Giovedì,Thursday,14,14,2023-10-19,cloudy,19.0
07F92E02C6E702FEE0630AB38B023FC7,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2684335,1247040,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw401,Montag,lundi,Lunedí,Monday,14,14,2023-10-16,partly-cloudy-day,12.0
